Epoch: [0][20/533120] t: 40 lr: 0.001 Time: 0.744 (itavg:0.994) (0.994)  Data: 0.005 (0.098) Loss: 0.70719850 (0.75726336) (0.75726336)  acc: 0.65625 (0.46875) sens: 0.33333 (0.67816) spec: 0.68966 (0.43580)  f1: 0.15385 (0.24916) jvpen: 0.001069921069 19.882
Epoch: [0][40/533120] t: 40 lr: 0.001 Time: 0.745 (itavg:0.874) (0.934)  Data: 0.005 (0.051) Loss: 0.63072556 (0.65409814) (0.70568075)  acc: 0.50000 (0.52109) sens: 0.00000 (0.53409) spec: 0.59259 (0.51902)  f1: 0.00000 (0.22430) jvpen: 0.000319994811 17.477
Epoch: [0][60/533120] t: 40 lr: 0.001 Time: 0.747 (itavg:0.747) (0.872)  Data: 0.005 (0.036) Loss: 0.61329895 (0.61476938) (0.67537696)  acc: 0.62500 (0.55469) sens: 0.40000 (0.53704) spec: 0.66667 (0.55758)  f1: 0.25000 (0.24741) jvpen: 0.000169265986 14.943
Epoch: [0][80/533120] t: 40 lr: 0.001 Time: 0.747 (itavg:0.748) (0.841)  Data: 0.005 (0.028) Loss: 0.60240722 (0.60215793) (0.65707220)  acc: 0.68750 (0.57852) sens: 0.50000 (0.51613) spec: 0.73077 (0.58912)  f1: 0.37500 (0.25864) jvpen: 0.000079587895 14.959
Epoch: [0][100/533120] t: 40 lr: 0.001 Time: 0.810 (itavg:0.763) (0.825)  Data: 0.005 (0.023) Loss: 0.59128118 (0.59641061) (0.64493988)  acc: 0.78125 (0.59906) sens: 0.70000 (0.52258) spec: 0.81818 (0.61207)  f1: 0.66667 (0.26955) jvpen: 0.000005073676 15.255
Epoch: [0][120/533120] t: 40 lr: 0.001 Time: 0.750 (itavg:0.777) (0.817)  Data: 0.005 (0.020) Loss: 0.58971685 (0.59339811) (0.63634959)  acc: 0.68750 (0.61172) sens: 0.80000 (0.52734) spec: 0.66667 (0.62634)  f1: 0.44444 (0.28061) jvpen: 0.000002198881 15.535
Epoch: [0][140/533120] t: 40 lr: 0.001 Time: 0.749 (itavg:0.756) (0.808)  Data: 0.005 (0.018) Loss: 0.59044236 (0.59247859) (0.63008230)  acc: 0.71875 (0.61719) sens: 0.60000 (0.52395) spec: 0.74074 (0.63353)  f1: 0.40000 (0.28364) jvpen: 0.000001519082 15.127
Epoch: [0][160/533120] t: 40 lr: 0.001 Time: 0.749 (itavg:0.754) (0.802)  Data: 0.005 (0.016) Loss: 0.58786511 (0.58999099) (0.62507089)  acc: 0.71875 (0.63086) sens: 0.57143 (0.51044) spec: 0.76000 (0.65204)  f1: 0.47059 (0.28532) jvpen: 0.000001071210 15.082
Epoch: [0][180/533120] t: 40 lr: 0.001 Time: 0.766 (itavg:0.756) (0.797)  Data: 0.005 (0.015) Loss: 0.58941096 (0.58905099) (0.62106868)  acc: 0.68750 (0.64323) sens: 0.50000 (0.51379) spec: 0.73077 (0.66626)  f1: 0.37500 (0.29827) jvpen: 0.000000931399 15.126
Epoch: [0][200/533120] t: 40 lr: 0.001 Time: 0.750 (itavg:0.763) (0.793)  Data: 0.005 (0.014) Loss: 0.58576959 (0.58706964) (0.61766877)  acc: 0.62500 (0.64781) sens: 0.00000 (0.51623) spec: 0.71429 (0.67178)  f1: 0.00000 (0.30497) jvpen: 0.000000642856 15.261
Epoch: [0][220/533120] t: 40 lr: 0.001 Time: 0.752 (itavg:0.766) (0.791)  Data: 0.005 (0.013) Loss: 0.58033639 (0.58721754) (0.61490048)  acc: 0.81250 (0.65256) sens: 1.00000 (0.51247) spec: 0.80645 (0.67803)  f1: 0.25000 (0.30578) jvpen: 0.000000804001 15.314
